iter	RMSE
0	10807.62818
1	10077.30962
2	9439.545222
3	8925.377822
4	8352.288428
5	7923.048723
6	7514.329069
7	7111.176658
8	6755.040425
9	6497.301614
10	6241.346747
11	6009.874264
12	5796.880325
13	5628.000711
14	5466.614856
15	5328.623201
16	5231.675318
17	5143.945603
18	5057.949876
19	4982.002546
20	4911.179237
21	4873.759505
22	4824.470391
23	4776.950017
24	4744.964622
25	4709.705678
26	4680.930321
27	4650.892716
28	4634.091924
29	4616.313802
30	4591.554375
31	4573.058797
32	4558.838947
33	4538.9389
34	4526.245128
35	4509.169055
36	4493.295472
37	4479.070741
38	4466.236866
39	4459.958614
40	4452.765208
41	4447.368833
42	4439.625689
43	4432.950926
44	4426.257498
45	4420.721914
46	4414.667932
47	4412.106258
48	4407.41074
49	4399.77039
50	4393.675245
51	4389.097737
52	4381.351697
53	4376.728233
54	4374.569971
55	4370.51646
56	4365.241483
57	4362.070525
58	4349.725771
59	4342.654337
60	4341.6228
61	4335.448621
62	4330.318946
63	4327.936552
64	4323.791114
65	4321.505692
66	4318.974747
67	4316.627027
68	4314.095723
69	4310.076048
70	4307.217499
71	4299.65235
72	4294.322425
73	4290.951619
74	4288.041444
75	4284.645673
76	4282.407738
77	4273.163441
78	4265.822393
79	4263.294002
80	4258.769663
81	4253.2927
82	4251.31633
83	4246.628923
84	4242.53284
85	4238.746246
86	4236.294737
87	4228.302693
88	4221.438623
89	4214.779479
90	4211.569625
91	4208.66229
92	4205.49997
93	4201.647861
94	4198.928936
95	4196.995133
96	4195.428531
97	4193.117401
98	4183.100045
99	4179.746752
