iter	Passed	Remaining
0	1	172
1	3	171
2	4	155
3	6	147
4	7	142
5	8	138
6	10	135
7	11	131
8	12	127
9	13	122
10	15	125
11	16	122
12	18	122
13	19	119
14	20	116
15	22	116
16	23	113
17	24	110
18	25	108
19	26	106
20	28	105
21	29	103
22	30	102
23	31	100
24	34	102
25	35	101
26	36	99
27	37	97
28	39	95
29	40	94
30	41	92
31	42	91
32	44	89
33	45	87
34	46	86
35	47	84
36	48	82
37	49	81
38	51	79
39	51	77
40	53	76
41	54	74
42	55	73
43	56	71
44	57	70
45	59	69
46	60	67
47	61	66
48	62	64
49	63	63
50	64	62
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	52
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	82	42
66	83	40
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	89	33
73	91	31
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	110	12
90	111	10
91	112	9
92	113	8
93	114	7
94	115	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
